014000167|0.0 0.0 0.005737924063173627 0.0022645741291431654 0.015380966689602668 0.0058395827621815395 0.0 0.027880617453356266 0.0 0.0029267053926288053
014007473|3.217667195393092e-05 0.00013003778693538776 0.0013946408945912636 0.0 0.010412574933955225 0.035467406288436275 0.0018047541226780418 0.02882749707303941 0.0010639089759168449 0.0006618245372651294
014108987|0.0 0.0 0.0 0.0 0.0 1.01849235418577 0.0 0.0 0.0 0.0
014246597|0.0 0.0 0.0 0.0 0.0 0.016848725453610318 0.0 0.07122846609539674 0.0 0.0
014360699|0.0 0.0 0.0 0.0 0.0 1.01849235418577 0.0 0.0 0.0 0.0
015000855|0.00047353919189582435 0.0009731549683313678 0.0 0.0 0.014197338673745856 0.07369371547376148 0.004148149678770537 0.025712863885399926 0.0008776902692530263 0.00403588470019682
015277782|0.0 0.0 0.00016787576326948836 0.0 0.012644133729381597 0.02988322062618345 0.01581479777275952 0.05072213714963475 0.004527641453322066 0.0
01600089X|0.0 0.010104570353789201 0.0 0.009144129669559515 0.0 0.0 0.0 0.010240114589878661 0.0 0.0
016082696|0.018437942995936388 0.015843790875741243 0.0 0.08846558427882328 0.0 0.0 0.05311856001017228 0.0 0.020100576126168848 0.0
016085176|0.0 0.0006065023537345675 0.0 0.0002472626389215625 0.0 0.006267568935525041 0.0 0.003165176299398878 0.0001395742734080208 0.0
016088748|0.0 0.0002659130869256199 0.0002212183900282971 0.0 0.0 0.0 0.0 0.0006043007189770711 0.0008088407555105992 0.0008568524730499933
016092448|0.0 0.003720588982603134 0.0 0.0040691224630810905 0.0 0.019052646442525845 0.0 0.014040918616886904 0.0 0.0
016102693|0.0 0.021090888369008104 0.0 0.0 0.0031601015239896345 0.0 0.00016868199772579134 0.0 0.0 0.0
033354489|0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.712172832704447
050052714|0.0033761772550419465 0.011276264065710155 0.0 0.023466040938775377 0.004335336492077273 0.013178535931868959 0.0 0.009337738094150382 0.0 0.0
050340142|0.017693769363728174 0.011008871180983053 0.0 0.06914255102588132 0.9833048979257234 0.0 0.03546416470688496 0.0 0.6057070271892475 0.0
050432119|0.0 0.0010348900536656387 0.0 0.0 0.0 0.005453469691282804 0.0 0.02302189444280029 0.0 0.002964268380526033
050443010|0.0 0.0 0.0 0.0 0.0 1.01849235418577 0.0 0.0 0.0 0.0
051092849|0.0 0.02168644316838968 0.0 0.000549040675365746 0.0 0.0009686794110716717 0.0 0.0 0.0 0.0
051127124|0.0 0.0 0.0 0.0 0.0 0.015727012667313328 0.9474321727564076 0.01162371625507984 0.0 0.0
051297713|0.0009573881265726865 0.0717525264385407 0.0011064354409849758 0.0 0.006225853870620544 0.0091886074669545 0.0 0.0002900045144208087 0.0 0.0
051388463|0.01676902350094687 0.003907302508899976 0.16910340568187804 0.029563857843965837 0.0 0.9901848494392043 0.9605706810261039 0.23330878820066073 0.6037279888360961 0.0
051409965|0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5873110275542973 0.0
051439371|0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5873110275542973 0.0
051519355|0.0 0.0 0.0 0.0 0.9775423393306388 0.0 0.9098420835012544 0.0 0.0 0.0
051551101|0.0 0.04674494781920354 0.0 0.0 0.9852165940883213 0.0 0.0 0.0 0.0 0.0
051562126|0.0 0.0 0.1733213299917534 0.0 0.0 0.0 0.0 0.0 0.0 0.0
051573036|0.15973419821610782 0.06187830669366321 0.1605731878530117 0.0 0.0801159905494956 0.06231982536020973 0.0 2.045808489041502 0.5966191406907865 0.718799154453199
05158005X|0.0 0.013049893689603216 0.003871592514400373 0.029034394308792583 0.012122908645543138 0.015345106092740845 0.006825726560070495 0.0 0.0 0.0007581063676209488
05158531X|0.00011306216480831212 0.0004523135490856976 0.0005179953803682673 0.0 0.0 0.0008785345505675808 0.0 0.053516590272799945 0.0 4.332525114269815e-05
05158996X|0.16030821570331058 0.014511221201643776 0.182383929281182 0.0 1.2592298998128855 0.0 0.9804577290263511 0.9131031532776381 0.588674675894012 0.0
051592229|0.1623037521778974 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
051592253|0.0001874332080715724 0.0 0.0 0.009487132025748586 0.0 0.020092149284957787 0.0 0.16206864115064984 0.0 0.024733339105209338
051593256|0.0 0.0 0.0 0.0 0.0019800315942817663 0.014510113777990689 0.0024844991210027987 0.031391725587211795 0.00116505998222781 0.001021413064136733
051596510|0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5873110275542973 0.0
051598938|0.0 0.0 0.0 0.0 0.0 0.0 0.924402460765684 0.0 0.0 0.0
051815584|0.0 0.0010310060881168843 0.0 0.0 0.0027032810766342134 0.007553683679786557 0.010470049380734111 0.024687536280478112 0.0 0.0
05202811X|0.00032282768698034216 0.0 0.008271751136137213 0.0 1.1214399987499504 0.0 0.9946995481215891 0.14686700822590334 0.015586603832893233 0.0
052117366|0.15739933378518062 0.09933401195314427 0.0 0.0 0.9672237436174712 0.0 0.0 0.08923810899431074 0.0 0.0
052662364|0.0 0.0 0.0 0.0 0.0 0.0 0.9194921550479263 0.0 0.5842146522017692 0.0
052663674|0.0 0.0 0.0 0.0 0.0 0.0 0.924402460765684 0.0 0.0 0.0
053604529|0.0007673483357194368 0.0 0.000297143443124222 0.08613560306376483 0.0 0.0 0.014791934556078282 0.0 0.0 0.0
053680417|0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.3605690871729856 0.0 0.0
053958263|0.0 0.0 0.0 0.0 0.0 0.0 0.9194921550479263 0.0 0.5842146522017692 0.0
054296388|0.0 0.035858639759613536 0.0 0.011630207779410656 0.0 0.009127463650099485 0.0 0.0 0.018156929324963836 0.023659069201714015
054409573|0.0 0.0 0.0 0.0 0.0 0.0 0.924402460765684 0.0 0.0 0.0
054542921|0.0 0.0 0.1733213299917534 0.0 0.0 0.0 0.0 0.0 0.0 0.0
054575192|0.002528860405551409 0.009927390697943314 0.0005520324575860422 0.039580729024173374 0.0 0.007460777783022769 0.0 0.0 0.0 0.010357625485191053
054612686|0.0 0.00033582320089371346 0.0008791323675160356 0.0 0.002793562060591808 0.006112874609445375 0.004009717782465318 0.006456561556381803 5.9739376192550586e-05 0.0
054616708|0.0 0.0 0.1733213299917534 0.0 0.0 0.0 0.0 0.0 0.0 0.0
054795793|0.0 0.0 0.0 0.006805050040814226 0.0 0.011749307645544752 0.0 0.09398182785446035 0.0 0.026786535709252383
054907628|0.1623037521778974 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
055050611|0.0 0.0 0.19659755195843107 0.0 1.214816438330757 1.1127406677473621 0.9780080891988172 0.8444105306720057 0.5912494238077634 0.6994026941099112
055059886|0.00045521086269752404 0.02162249002518287 0.0 0.0012121464986991769 0.0 0.0 0.0 0.0 0.0 0.007277985423002756
055343051|0.0 0.0 0.0 0.0 0.0 0.0 0.924402460765684 0.0 0.0 0.0
055460258|0.0 0.0 0.0 0.0 0.9936955561200824 0.0 0.0 0.0 0.0 0.0
055539425|0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.4502519663653959 0.0 0.0
055621541|0.0 0.0030237399236478064 0.00014904057831440417 0.0 0.03606326843886224 0.0 0.03534346816636152 0.08195151686580103 0.0 0.0
055631619|0.0 0.0025514507869620166 0.0 0.0 0.13012269885597585 0.0 0.012950693928839898 0.11412224569988784 0.002417507117988881 0.0
055891904|0.0 0.0 0.16956922586028753 0.0 0.0 0.004229974727972165 0.0 0.8904746346585225 0.0 0.7073946716089359
056094093|0.0 0.0 0.0 0.0 0.0 0.0 0.924402460765684 0.0 0.0 0.0
056154156|0.0 0.015777087997305955 0.0 0.0 0.008665425568776539 0.0 0.0030354736369846416 0.0 0.0 0.0
