56|0.0 0.0 0.0 0.033902903383544514 0.0 0.004200262891486289 0.0 0.010362926425421028 0.0 0.0
57|0.0 0.1250490388561264 0.0 0.03977832732686934 0.0 0.012451359122913865 0.0 0.02711337518002089 0.0036229698644388024 0.0
58|0.0 0.0 0.0 0.08420976813553904 0.0 0.0 0.0 0.052098748153908164 0.0 0.0
59|0.0 0.0 0.0 0.15092191559230378 0.0 0.0 0.0 0.0 0.0 0.006719063821594184
60|0.0 0.0 0.007346843325582033 0.3134611837326063 0.0 0.0 0.0 0.0 0.0 0.0
61|0.0 0.0 0.003710573458406473 0.06385173078394363 0.000797919601658123 0.0011056970353256082 0.0 0.04294134381954438 0.0 0.0
62|0.0 0.05012854045504351 0.0 0.002715346653068679 0.0 0.0029437134764394683 0.0 0.0 0.0 0.0016434680546301276
63|0.0 0.0 0.0 0.2476281820184268 0.0 0.0 0.0 0.0 0.0 0.0068435181288569215
64|0.0 0.0 0.0 0.034883961725140945 0.0 0.001419266729602542 0.0 0.004207444988067068 0.0 0.0
65|0.0 0.0 0.0 0.06036216839900957 0.0 0.013663781157797384 0.0 0.13351927947274386 0.0 0.05736292727295689
66|0.0 0.05124084421030596 0.0 0.020369636696398755 0.0 0.003881133739459548 0.0 0.0011813484763479494 0.0 0.0030556005282871756
67|0.0 0.010199234938977066 0.013217807885097398 0.05540480616678121 0.0 0.0 0.0 0.00416192454515795 0.0 0.0
68|0.0 0.0 0.002367934453266026 0.285342618229956 0.006244752226568993 0.0 0.010698878010850925 0.0 0.0 0.0
69|0.0 0.0 0.000557632089691327 0.0031305506527374628 0.0 0.004261800575028682 0.0 0.005747848621184058 0.0006308220638090271 0.0
70|0.0 0.0 0.0 0.042240697753802056 0.0 0.003182630126629368 0.0 0.00791299801292774 0.0 0.0
71|0.0 0.0 0.0 0.06884220230567462 0.0 0.003496076178470841 0.0006847371353808513 0.003706382095851135 0.0 0.0
72|0.0 0.0022802151958220434 0.0 0.0001610383262824937 0.0 6.391159480211475e-05 0.0006149828846081563 0.0 0.000606418837948795 0.0
73|0.0 0.0 0.0 0.011717032107176159 0.0 0.0020784308351819245 0.0 0.0030115084383338284 0.0 0.0
74|0.0 0.045446404490659925 0.0 0.05346265943309448 0.0 0.006400390060434857 0.0 0.0020518116700455687 0.0 0.0
75|0.005994825517375537 0.0 0.0 0.01651734632316832 0.0 0.0 0.00032261819720401526 0.0 0.00039512751908772327 0.0030976788525427746
76|0.0 0.0 0.0034829722587054876 0.013893750862401053 0.0005877159962713316 0.0005171412583245326 0.0012312486814846366 0.004246584495312416 0.0 0.0
77|0.0 0.030413715561632026 0.0 0.07730048772908407 0.0 0.010634647176750113 0.0 0.007040981778779894 0.0 0.011868751537664915
78|0.0 0.0 0.0 0.051286110711687455 0.0 0.0 0.0 0.04435735440778861 0.00385082557979215 0.0038938440059202457
79|0.0 0.0 0.0 0.13344564596201988 0.0 0.0 0.0 0.0 0.01695363390338275 0.08926105760047215
80|0.0 0.0 0.004452560129916587 0.0003566394653077463 0.0 0.0 0.0 0.0013427246284635397 0.0 0.0
81|0.0 0.0 0.0 0.027323070047279505 0.0 0.001576180395959518 0.0 0.0002394636246275882 0.000695804721293541 0.009087676482885049
82|0.0025218418161439505 0.0 0.025314084173659858 0.005876169399439836 1.2214040619326664e-05 0.0010818190219435081 0.0 0.0162407850144664 0.0 0.0
83|0.0 0.0 0.0 0.10267511597712667 0.007572429186105916 0.005489342827738824 0.0 0.013901612896583627 0.0 0.0
84|0.0 0.007935623454198803 0.0027804080432882747 0.02590038453532026 0.0 0.0 0.0 0.0006101250879544998 0.0 0.0009029518250302165
85|0.0 0.0 0.0 0.08557497380190826 0.0 0.004439041869211246 0.0 0.01041467572855577 0.0 0.008527646186392903
86|0.0 0.0 0.0 0.08577011135731726 0.004126726406078204 0.0 0.0 0.038595529419591525 0.0 0.0
